Наименование интернет-ресурса;Описание;Тип;URL;;;;;
Платформа UNDP Climate Change Adaptation;Портал Программы развития ООН, посвящённый адаптации к изменению климата. Содержит информацию об адаптационной политике и планировании адаптации, укреплении устойчивости к климатическим рискам для обеспечения продовольственной безопасности, адаптации на основе экосистем, управлении водными ресурсами, климатической устойчивости городской среды, вопросах изменения климата, инфраструктуре, устойчивой к изменению климата, а также об отдельных местных проектах по адаптации.;Международный;https://www.adaptation-undp.org/ ;;;;;
Официальный сайт Программы ООН по окружающей среде (ЮНЕП);Официальный сайт Программы ООН по окружающей среде (ЮНЕП). Содержит новости, отчеты, публикации по ключевым экологическим проблемам. Представлены международные инициативы, программы и проекты в области адаптации.;Международный;https://www.unep.org/ ;;;;;
Сайт UNFCCC;Официальный сайт Рамочной конвенции ООН об изменении климата. Содержит новости об изменении климата и новости, связанные с Парижским соглашением, Киотским протоколом и конвенцией, документы и отчёты стран-участников, а также специализированные порталы и инструменты.;Международный;https://unfccc.int/ ;;;;;
Сайт Intergovernmental Panel on Climate Change (IPCC);Сайт Межправительственной группы экспертов по изменению климата. Содержит оценочные доклады по изменению климата, используемые в научных и политических решениях.;Международный;https://www.ipcc.ch/ ;;;;;
European Climate Adaptation Platform (Climate-ADAPT);Ключевая платформа Европейского союза в сфере адаптации к изменению климата. Предоставляет данные об ожидаемых изменениях климата, уязвимости регионов и секторов, а также инструменты планирования и базу данных практических кейсов по адаптации.;Международный (ЕС);https://climate-adapt.eea.europa.eu/en ;;;;;
Сайт Министерства природных ресурсов и экологии РФ;Сайт Министерства природных ресурсов и экологии Российской Федерации (Минприроды России). Сайт содержит информацию о структуре и деятельности Минприроды России. На сайте представлена справочная информация, интересная широкому кругу пользователей. Средствами картографического интерфейса доступна информация о природных ресурсах каждого субъекта Российской Федерации, общих географических и исторических сведениях, объектах экологического контроля, тематических событиях в регионах. Представлена иллюстрированная информация об особо охраняемых природных территориях федерального значения.;Российский;https://www.mnr.gov.ru/ ;;;;;
Сайт Климатического центра Росгидромета;Сайт Климатического центра Росгидромета. Содержит публикации, прогностические данные по изменению климата на территории России и результаты мониторинга, а также российские и международные новости в сфере климата.;Российский;http://cc.voeikovmgo.ru/ru/ ;;;;;
"Портал ""Изменение климата""";"Сайт разработан в Управлении научных программ, международного сотрудничества и информационных ресурсов (УНМР) Росгидромета и в настоящее время поддерживается ФГБУ ""НИЦ"" Планета"" по заказу Управления специальных и научных программ (УСНП) Росгидромета. Цель сайта - информирование широкого круга специалистов и общественности о новостях по тематике климата и гидрометеорологии с изданием с периодичностью 1 раз в 2 месяца электронного бюллетеня ""Изменение климата"".";Российский;http://www.global-climate-change.ru/ ;;;;;
Сайт Института глобального климата и экологии (ИГКЭ);Сайт Института глобального климата и экологии (ИГКЭ), содержит новости ИГКЭ, информацию о его работе и результаты его работы (отчеты, интерактивные карты).;Российский;http://www.igce.ru/ ;;;;;
"Национальный портал ""Природа России""";Создан Национальным информационным агентством «Природные ресурсы». Основная цель ресурса: интеграция информационных ресурсов и сервисов органов государственной власти, организаций всех форм собственности и граждан, в целях укрепления общенационального информационного пространства в области природопользования и охраны окружающей природной среды. Содержит новости, аналитические материалы и справочную информацию о состоянии природных ресурсов России.;Российский;https://www.priroda.ru/ ;;;;;
Сайт Российского экологического общества;Сайт общероссийской общественной организации по охране и защите природных ресурсов «Российское экологическое общество». Содержит новости (федеральные и региональные) об экологии, а также информацию о проектах организации.;Российский;https://www.ecosociety.ru/;;;;;
Сайт Всероссийского общества охраны природы;Сайт Всероссийского общества охраны природы (ВООП). Содержит новости в сфере охраны природы и экологии и информацию о деятельности ВООП.;Российский;https://voop-rf.ru/ ;;;;;
"Сайт ""Эковики""";Ресурс Межрегиональной экологической общественной организации «ЭКА». «Зеленая» поисковая система с обучающим функционалом. Постоянно пополняется инструкциями и алгоритмами действий, прикладной информацией, а также успешным опытом в области экологической тематики, помогая пользователям разобраться в экологической повестке и внедрять экологичные практики.;Российский;https://ecowiki.ru/ ;;;;;
Всероссийский Экологический Портал ;Некоммерческий сайт с информацией об экологии: новостями, статьями, каталогом экологических ресурсов и интерактивным словарём.;Российский;https://ecoportal.su/  ;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
