Дата опубликования;№;Вид НПА;Орган гос власти;Название;Преамбула;
25.12.2019;3183-р;Распоряжение;Правительство РФ;Национальный план мероприятий первого этапа адаптации ;http://publication.pravo.gov.ru/Document/View/0001202001040016;
11.03.2023;559-р;Распоряжение;Правительство РФ;Национальный план мероприятий второго этапа адаптации ;http://publication.pravo.gov.ru/Document/View/0001202303130019;
28.12.2023;928;Приказ;Минэкономразвития РФ;О внесении изменений в приказ Минэкономразвития России от 13 мая 2021 г. № 267 «Об утверждении методических рекомендаций и показателей по вопросам адаптации к изменениям климата»;https://www.economy.gov.ru/material/file/8aac7ad23f8dc9bde976bf79f2a2712c/928_28122023.pdf;
28.12.2023;927;Приказ;Минэкономразвития РФ;Об утверждении Методических рекомендаций по оценке возможного ущерба от воздействия климатических рисков, в том числе рекомендаций по формированию перечня климатически уязвимых объектов в отраслях экономики, в субъектах Российской Федерации и Методических рекомендаций по мониторингу и оценке эффективности и результативности мер по адаптации к изменениям климата;https://www.economy.gov.ru/material/file/dca586286823949d756e95b1fd6fe137/927_28122023.pdf;
13.05.2021;267;Приказ;Минэкономразвития РФ;Об утверждении методических рекомендаций и показателей по вопросам адаптации к изменениям климата;https://www.economy.gov.ru/material/file/b3cc582c24e7367170b5605f1199c6a9/267_13052021.pdf;
26.10.2023;812;Указ;Президент РФ;Об утверждении Климатической доктрины Российской Федерации;http://www.kremlin.ru/acts/bank/49910;
02.07.2021;296-ФЗ;Федеральный закон;Федеральное собрание;Об ограничении выбросов парниковых газов;http://www.kremlin.ru/acts/bank/47013;
10.01.2002;7-ФЗ;Федеральный закон;Федеральное собрание;Об охране окружающей среды;http://pravo.gov.ru/proxy/ips/?docbody=&nd=102074303;
03.06.2006 (ред. от 29.12.2025);74-ФЗ;Федеральный закон;Федеральное собрание;Водный кодекс Российской Федерации;http://pravo.gov.ru/proxy/ips/?docbody=&nd=102107048;
04.12.2006 (ред. от 29.12.2025);200-ФЗ;Федеральный закон;Федеральное собрание;Лесной кодекс Российской Федерации;http://pravo.gov.ru/proxy/ips/?docbody=&nd=102110364;
19.10.2021;706;Приказ;МЧС России;Об утверждении отраслевого плана адаптации к изменениям климата в области гражданской обороны, защиты населения и территорий от чрезвычайных ситуаций природного и техногенного характера;https://mchs.gov.ru/uploads/document/2021-11-18/b28dd5919a2b54654464d34e1ffa14ed.pdf;
01.05.2025;42.1.01-2024;ГОСТ;МЧС России;Эвакуация населения, материальных и культурных ценностей в безопасные районы;https://docs.cntd.ru/document/1310453202;
01.06.2022;22.3.05-2022;ГОСТ;МЧС России;Первоочередное жизнеобеспечение пострадавшего населения;https://docs.cntd.ru/document/1200183497?marker=7D20K3;
01.06.2021;22.3.17-2020;ГОСТ;МЧС России;Планирование мероприятий по эвакуации и рассредоточению населения при угрозе и возникновении чрезвычайных ситуаций;https://docs.cntd.ru/document/566430562?marker=7D20K3;
01.02.2024;22.0.06-2023;ГОСТ;МЧС России;Безопасность в чрезвычайных ситуациях. Источники природных чрезвычайных ситуаций. Поражающие факторы. Номенклатура параметров поражающих воздействий;https://docs.cntd.ru/document/1302181185;
